gender,persona,outfit,product_id,slot,category,source_snap_url,source_type
men,Y2K,1,2080736,shoes,신발,,legacy_vector_seed
men,Y2K,1,2772391,bottom,바지,,legacy_vector_seed
men,Y2K,1,2975860,top,상의,,legacy_vector_seed
men,Y2K,1,3031495,top,상의,,legacy_vector_seed
men,Y2K,1,4429672,acc,액세서리,,legacy_vector_seed
men,Y2K,2,3791988,bottom,바지,,legacy_vector_seed
men,Y2K,2,4734393,top,상의,,legacy_vector_seed
men,Y2K,2,5081503,shoes,신발,,legacy_vector_seed
men,Y2K,2,5279204,outer,아우터,,legacy_vector_seed
men,Y2K,2,5494232,acc,액세서리,,legacy_vector_seed
men,Y2K,3,4911943,bottom,바지,,legacy_vector_seed
men,Y2K,3,5248428,top,상의,,legacy_vector_seed
men,Y2K,3,5329362,outer,아우터,,legacy_vector_seed
men,Y2K,3,5329561,shoes,신발,,legacy_vector_seed
men,고프코어,1,5369990,outer,아우터,,legacy_vector_seed
men,고프코어,1,5425528,bottom,바지,,legacy_vector_seed
men,고프코어,1,5535497,top,상의,,legacy_vector_seed
men,고프코어,1,5613840,shoes,신발,,legacy_vector_seed
men,고프코어,1,5743657,acc,액세서리,,legacy_vector_seed
men,고프코어,2,3775664,bottom,바지,,legacy_vector_seed
men,고프코어,2,5304287,acc,액세서리,,legacy_vector_seed
men,고프코어,2,5425882,top,상의,,legacy_vector_seed
men,고프코어,2,5613845,shoes,신발,,legacy_vector_seed
men,고프코어,2,5685152,outer,아우터,,legacy_vector_seed
men,고프코어,3,2329533,outer,아우터,,legacy_vector_seed
men,고프코어,3,3046006,shoes,신발,,legacy_vector_seed
men,고프코어,3,3645926,bottom,바지,,legacy_vector_seed
men,고프코어,3,3792524,top,상의,,legacy_vector_seed
men,고프코어,3,4853121,acc,액세서리,,legacy_vector_seed
men,그런지,1,4323569,bottom,바지,,legacy_vector_seed
men,그런지,1,4398574,shoes,신발,,legacy_vector_seed
men,그런지,1,4500266,top,상의,,legacy_vector_seed
men,그런지,1,4532992,top,상의,,legacy_vector_seed
men,그런지,2,3276182,acc,액세서리,,legacy_vector_seed
men,그런지,2,3284864,bottom,바지,,legacy_vector_seed
men,그런지,2,3623155,shoes,신발,,legacy_vector_seed
men,그런지,2,3807577,outer,아우터,,legacy_vector_seed
men,그런지,2,5453145,top,상의,,legacy_vector_seed
men,그런지,3,4147450,bottom,바지,,legacy_vector_seed
men,그런지,3,4242349,top,상의,,legacy_vector_seed
men,그런지,3,5501273,acc,액세서리,,legacy_vector_seed
men,그런지,3,5527491,shoes,신발,,legacy_vector_seed
men,락시크,1,3833673,outer,아우터,,legacy_vector_seed
men,락시크,1,4312141,acc,액세서리,,legacy_vector_seed
men,락시크,1,4661545,shoes,신발,,legacy_vector_seed
men,락시크,1,5152961,top,상의,,legacy_vector_seed
men,락시크,1,5557454,bottom,바지,,legacy_vector_seed
men,락시크,2,4307923,acc,액세서리,,legacy_vector_seed
men,락시크,2,4563123,shoes,신발,,legacy_vector_seed
men,락시크,2,5242970,bottom,바지,,legacy_vector_seed
men,락시크,2,5391270,top,상의,,legacy_vector_seed
men,락시크,3,3528979,shoes,신발,,legacy_vector_seed
men,락시크,3,4279520,acc,액세서리,,legacy_vector_seed
men,락시크,3,4897566,bottom,바지,,legacy_vector_seed
men,락시크,3,5425845,top,상의,,legacy_vector_seed
men,락시크,3,5662321,outer,아우터,,legacy_vector_seed
men,머슬핏,1,2403702,bottom,바지,,legacy_vector_seed
men,머슬핏,1,4304066,acc,액세서리,,legacy_vector_seed
men,머슬핏,1,4864258,shoes,신발,,legacy_vector_seed
men,머슬핏,1,5079642,top,상의,,legacy_vector_seed
men,머슬핏,2,3438764,bottom,바지,,legacy_vector_seed
men,머슬핏,2,3721889,shoes,신발,,legacy_vector_seed
men,머슬핏,2,4774083,acc,액세서리,,legacy_vector_seed
men,머슬핏,2,5209714,top,상의,,legacy_vector_seed
men,머슬핏,3,1220731,acc,액세서리,,legacy_vector_seed
men,머슬핏,3,1246801,shoes,신발,,legacy_vector_seed
men,머슬핏,3,4557903,bottom,바지,,legacy_vector_seed
men,머슬핏,3,4928483,top,상의,,legacy_vector_seed
men,미니멀,1,2070763,shoes,신발,,legacy_vector_seed
men,미니멀,1,3555285,bottom,바지,,legacy_vector_seed
men,미니멀,1,4345211,top,상의,,legacy_vector_seed
men,미니멀,1,4419823,outer,아우터,,legacy_vector_seed
men,미니멀,2,4188417,top,상의,,legacy_vector_seed
men,미니멀,2,4662556,shoes,신발,,legacy_vector_seed
men,미니멀,2,5312108,bottom,바지,,legacy_vector_seed
men,미니멀,2,5694763,outer,아우터,,legacy_vector_seed
men,미니멀,3,2716424,shoes,신발,,legacy_vector_seed
men,미니멀,3,3656540,outer,아우터,,legacy_vector_seed
men,미니멀,3,4337688,top,상의,,legacy_vector_seed
men,미니멀,3,5350540,bottom,바지,,legacy_vector_seed
